author,home_state,home_state_status
"Абрамов, Федор Александрович",Архангельская область,4
"Абрамян, Григорий Владимирович",,
"Аксёнов, Василий Павлович",,
"Аксёнова, Анна Сергеевна",Санкт-Петербург,2
"Александрова, Татьяна Ивановна",Москва,1
"Алексеев, Валерий Алексеевич",Псковская область,4
"Алексеев, Олег Алексеевич",Псковская область,4
"Алексеев, Сергей Петрович",Винницкая область,4
"Алексин, Анатолий Георгиевич",Москва,1
"Алешковский, Юз",Москва,1
"Альтов, Генрих Саулович",Баку,3
"Альтов, Генрих Саулович;Журавлева, Валентина Николаевна",Баку,3
"Аношкин, Михаил Петрович",Челябинская область,4
"Антипов, Георгий Иванович",Красноярский край,4
"Аркадьев, Лев Аркадьевич",Одесская область,4
"Аронов, Александр Борисович",Москва,1
"Арро, Владимир Константинович",Санкт-Петербург,2
"Артюшенко, Сергей Кириллович",Киев,3
"Астафьев, Виктор Петрович ",Красноярский край,4
"Бабаев, Эдуард Григорьевич",Ташкент,3
"Балл, Георгий Александрович",Москва,1
"Баруздин, Сергей Алексеевич",Москва,1
"Бахревский, Владислав Анатольевич",кочует,9
"Бейлина, Нинель Вениаминовна",Киев,3
"Белянинов, Алексей Семенович ",Баку,3
"Биленкин, Дмитрий Александрович",Москва,1
"Блинов, Геннадий Яковлевич",Алтайский край,4
"Богомолов, Владимир Осипович",Московская область,4
"Бондаренко, Владимир Никифорович",Самарская область,4
"Браун, Жанна Александровна",Оренбургская область,4
"Бременер, Макс Соломонович",Москва,1
"Булычев, Кир",Москва,1
"Василенко, Анатолий Петрович",Полтавская область,4
"Васильев, Борис Львович",Смоленская область,4
"Васильев, Иван Афанасьевич",Псковская область,4
"Велтистов, Евгений Серафимович",Москва,1
"Вехова, Марианна Базильевна",Москва,1
"Вилькин, Яков Рувимович",Витебская область,4
"Владимирский, Леонид Викторович",Москва,1
"Власов, Александр Ефимович",Санкт-Петербург,2
"Внуков, Николай Андреевич",Московская область,4
"Войскунский, Евгений Львович",Баку,3
"Войскунский, Евгений Львович;Лукодьянов, Исай Борисович",Баку,3
"Вольф, Сергей Евгеньевич",Санкт-Петербург,2
"Воскобойников, Валерий Михайлович",Санкт-Петербург,2
"Востряков, Игорь Дмитриевич",Карелия,4
"Галахова, Галина Алексеевна",Санкт-Петербург,2
"Ганина, Майя Анатольевна",Москва,1
"Герчик, Михаил Наумович",Могилёвская область,4
"Глинка, Михаил Сергеевич",Санкт-Петербург,2
"Гнедина, Татьяна Евгеньевна",Москва,1
"Говоров, Александр Алексеевич",Москва,1
"Голубев, Глеб Николаевич",Тверская область,4
"Голявкин, Виктор Владимирович",Баку,3
"Горышин, Глеб Александрович",Санкт-Петербург,2
"Граевский, Александр Моисеевич",Томская область,4
"Граубин, Георгий Рудольфович",Забайкальский край,4
"Греков, Юрий Федорович",Кагульский район,4
"Григорьев, Владимир Васильевич",Москва,1
"Давыдычев, Лев Иванович",Пермский край,4
"Дамаскин, Игорь Анатольевич",,
"Данини, Майя Николаевна",Санкт-Петербург,2
"Дворкин, Илья Львович",Абхазия,4
"Демиденко, Михаил Иванович",Воронежская область,4
"Демыкина, Галина Николаевна",Москва,1
"Дик, Иосиф Иванович",Москва,1
"Длуголенский, Яков Ноевич",Санкт-Петербург,2
"Дмитриев, Юрий Дмитриевич",Москва,1
"Добряков, Владимир Андреевич",Москва,1
"Дружков, Юрий Михайлович",Республика Крым,4
"Дубровин, Евгений Пантелеевич",Воронежская область,4
"Евдокимов, Николай Семёнович",Москва,1
"Емцев, Михаил Тихонович",Херсонская область,4
"Ермолаев, Юрий Иванович",Москва,1
"Жариков, Андрей Дмитриевич",Тамбовская область,4
"Железников, Владимир Карпович",Витебская область,4
"Журавлева, Валентина Николаевна",Баку,3
"Зобнин, Олег Ксенофонтович",,
"Зуенок, Василий Васильевич",Минск,3
"Зюзюкин, Иван Иванович",Хабаровский край,4
"Иванов, Александр Васильевич",Новосибирская область,4
"Имшенецкий, Вячеслав Андреевич",Иркутская область,4
