"author","year","migration_state","migration_region"
"Абрамов, Федор Александрович",1938,"moved","stayed"
"Абрамов, Федор Александрович",1942,"returned","stayed"
"Абрамов, Федор Александрович",1943,"moved","moved"
"Абрамов, Федор Александрович",1945,"moved","returned"
"Абрамян, Григорий Владимирович",NA,"",""
"Аксёнов, Василий Павлович",NA,"",""
"Аксёнова, Анна Сергеевна",1950,"moved","stayed"
"Аксёнова, Анна Сергеевна",1960,"returned","stayed"
"Александрова, Татьяна Ивановна",9999,"stayed","stayed"
"Алексеев, Валерий Алексеевич",1956,"moved","moved"
"Алексеев, Олег Алексеевич",1953,"moved","moved"
"Алексеев, Олег Алексеевич",1991,"returned","returned"
"Алексеев, Сергей Петрович",1940,"moved","moved"
"Алексин, Анатолий Георгиевич",1942,"moved","moved"
"Алексин, Анатолий Георгиевич",1944,"returned","returned"
"Алексин, Анатолий Георгиевич",1993,"moved","moved"
"Алешковский, Юз",1947,"moved","moved"
"Алешковский, Юз",1953,"returned","returned"
"Алешковский, Юз",1979,"moved","moved"
"Альтов, Генрих Саулович",1950,"moved","moved"
"Альтов, Генрих Саулович",1954,"returned","returned"
"Альтов, Генрих Саулович",1990,"moved","moved"
"Альтов, Генрих Саулович;Журавлева, Валентина Николаевна",1990,"moved","moved"
"Аношкин, Михаил Петрович",1940,"moved","moved"
"Аношкин, Михаил Петрович",1944,"returned","returned"
"Антипов, Георгий Иванович",1941,"moved","moved"
"Антипов, Георгий Иванович",1945,"returned","returned"
"Аркадьев, Лев Аркадьевич",1942,"moved","moved"
"Аркадьев, Лев Аркадьевич",1945,"returned","returned"
"Аркадьев, Лев Аркадьевич",1947,"moved","moved"
"Аронов, Александр Борисович",1941,"moved","moved"
"Аронов, Александр Борисович",1943,"returned","returned"
"Аронов, Александр Борисович",1944,"moved","stayed"
"Аронов, Александр Борисович",1951,"returned","stayed"
"Арро, Владимир Константинович",1942,"moved","moved"
"Арро, Владимир Константинович",1945,"returned","returned"
"Арро, Владимир Константинович",1997,"moved","moved"
"Артюшенко, Сергей Кириллович",9999,"stayed","stayed"
"Астафьев, Виктор Петрович ",1942,"moved","stayed"
"Астафьев, Виктор Петрович ",1943,"moved","moved"
"Астафьев, Виктор Петрович ",1980,"returned","returned"
"Бабаев, Эдуард Григорьевич",1961,"moved","moved"
"Балл, Георгий Александрович",1953,"moved","moved"
"Балл, Георгий Александрович",1954,"returned","returned"
"Баруздин, Сергей Алексеевич",1943,"moved","moved"
"Баруздин, Сергей Алексеевич",1945,"returned","returned"
"Бахревский, Владислав Анатольевич",NA,"",""
"Бейлина, Нинель Вениаминовна",1946,"moved","moved"
"Белянинов, Алексей Семенович ",1944,"moved","moved"
"Биленкин, Дмитрий Александрович",9999,"stayed","stayed"
"Блинов, Геннадий Яковлевич",1950,"moved","stayed"
"Богомолов, Владимир Осипович",1941,"moved","moved"
"Богомолов, Владимир Осипович",1950,"returned","returned"
"Бондаренко, Владимир Никифорович",1950,"moved","stayed"
"Бондаренко, Владимир Никифорович",1955,"returned","stayed"
"Браун, Жанна Александровна",1949,"moved","moved"
"Бременер, Макс Соломонович",9999,"stayed","stayed"
"Булычев, Кир",1957,"moved","moved"
"Булычев, Кир",1959,"returned","returned"
