"lemma","n","id"
"деревня Семеновка",1,"zharikov.posledniaia_noch"
"прохоровский рудник",1,"zharikov.posledniaia_noch"
"Москва",1,"dik.elka"
"Америка",3,"komarovskii.tvoi_rovesniki"
"Англия",1,"komarovskii.tvoi_rovesniki"
"Бон",1,"komarovskii.tvoi_rovesniki"
"Ир Сен",1,"komarovskii.tvoi_rovesniki"
"Ир Сена",2,"komarovskii.tvoi_rovesniki"
"Кай Су",17,"komarovskii.tvoi_rovesniki"
"Кай Су и Пек Чан",2,"komarovskii.tvoi_rovesniki"
"Ким Ир Сен",3,"komarovskii.tvoi_rovesniki"
"Ким Ир Сена",3,"komarovskii.tvoi_rovesniki"
"Корея",6,"komarovskii.tvoi_rovesniki"
"Ку Сек Чука",1,"komarovskii.tvoi_rovesniki"
"Ли Кай Су",1,"komarovskii.tvoi_rovesniki"
"Лондон",10,"komarovskii.tvoi_rovesniki"
"Пек Чан",9,"komarovskii.tvoi_rovesniki"
"Пит",1,"komarovskii.tvoi_rovesniki"
"Рио-де-Жанейро",1,"komarovskii.tvoi_rovesniki"
"Россия",1,"komarovskii.tvoi_rovesniki"
"Северный Корея",1,"komarovskii.tvoi_rovesniki"
"Сеул",3,"komarovskii.tvoi_rovesniki"
"Син Пек Чан",1,"komarovskii.tvoi_rovesniki"
"Сити",1,"komarovskii.tvoi_rovesniki"
"Тек Сан",2,"komarovskii.tvoi_rovesniki"
"Тек Сана",2,"komarovskii.tvoi_rovesniki"
"Филипп",1,"komarovskii.tvoi_rovesniki"
"Флорида",1,"komarovskii.tvoi_rovesniki"
"Фузан",2,"komarovskii.tvoi_rovesniki"
"Хесандин",1,"komarovskii.tvoi_rovesniki"
"Чан Бай Су",3,"komarovskii.tvoi_rovesniki"
"ЮГА",1,"komarovskii.tvoi_rovesniki"
"Южный Корея",3,"komarovskii.tvoi_rovesniki"
"быстрый Река",2,"komarovskii.tvoi_rovesniki"
"весь Лондон",1,"komarovskii.tvoi_rovesniki"
"весь прохладный Долина",5,"komarovskii.tvoi_rovesniki"
"древний столица Корея — Пхеньян",1,"komarovskii.tvoi_rovesniki"
"другой Лондон",1,"komarovskii.tvoi_rovesniki"
"золотой очка несколько",1,"komarovskii.tvoi_rovesniki"
"кай СУ",1,"komarovskii.tvoi_rovesniki"
"кай Су",1,"komarovskii.tvoi_rovesniki"
"король великобритание",1,"komarovskii.tvoi_rovesniki"
"овраг",1,"komarovskii.tvoi_rovesniki"
"пек Чан",1,"komarovskii.tvoi_rovesniki"
"прохладный Долина",17,"komarovskii.tvoi_rovesniki"
"прохладный Долина фанз Син Тек Чена",1,"komarovskii.tvoi_rovesniki"
"ранена Сель Най",1,"komarovskii.tvoi_rovesniki"
"северный Корея",1,"komarovskii.tvoi_rovesniki"
"синий Ручь",2,"komarovskii.tvoi_rovesniki"
"советский Союз",1,"komarovskii.tvoi_rovesniki"
"тек Сан",1,"komarovskii.tvoi_rovesniki"
"Мурманск",1,"aksyonova.devchonka"
"Рита",1,"aksyonova.devchonka"
"Украина",1,"aksyonova.devchonka"
"Арбат",1,"aleksin.31den"
"Волга",1,"aleksin.31den"
"Гомель",1,"aleksin.31den"
"Измайлово",1,"aleksin.31den"
"Крым",1,"aleksin.31den"
"Москва",23,"aleksin.31den"
"Москву-рек",1,"aleksin.31den"
"Моссовет",1,"aleksin.31den"
"Новороссийск",3,"aleksin.31den"
"Петербург",1,"aleksin.31den"
"Профессор",1,"aleksin.31den"
"Севастополь",1,"aleksin.31den"
"Сталинград",23,"aleksin.31den"
"советский Союз",2,"aleksin.31den"
"Актюбинск",2,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Анап",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
