filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id,tokens_filename,tokens_directory,tokens_filepath,n_tokens
1930s/zharikov.posledniaia_noch.1939_1980.vert,"Жариков, Андрей Дмитриевич","",1921,2005,м,Последняя ночь,1939,"Последняя ночь [Рассказ : Для мл. и сред. возраста], М.; Л.: Детиздат, 1939",1980,"Последняя ночь. Рассказ [Для мл. шк. возраста], М.: Дет. лит., 1980",realism,zharikov.posledniaia_noch,zharikov.posledniaia_noch.1939_1980.tokens,1930s/zharikov.posledniaia_noch.1939_1980,C:\Users\User\detcorpus-entities/1930s/zharikov.posledniaia_noch.1939_1980/zharikov.posledniaia_noch.1939_1980.tokens,5449
1940s/dik.elka.1948.vert,"Дик, Иосиф Иванович","",1922,1984,м,Ёлка,1948,"Мурзилка, № 1, 1948",1948,"Мурзилка, № 1, 1948",realism,dik.elka,dik.elka.1948.tokens,1940s/dik.elka.1948,C:\Users\User\detcorpus-entities/1940s/dik.elka.1948/dik.elka.1948.tokens,1952
1940s/komarovskii.tvoi_rovesniki.1949_1954.vert,"Комаровский, Глеб Николаевич","",1923,1984,м,Твои ровесники,1949,"Твои ровесники, М.; Л.: Изд-во и ф-ка дет. книги Детгиза в М., 1949",1954,"Твои ровесники, Челябинск: Кн. изд-во, 1954",realism,komarovskii.tvoi_rovesniki,komarovskii.tvoi_rovesniki.1949_1954.tokens,1940s/komarovskii.tvoi_rovesniki.1949_1954,C:\Users\User\detcorpus-entities/1940s/komarovskii.tvoi_rovesniki.1949_1954/komarovskii.tvoi_rovesniki.1949_1954.tokens,41857
1950s/aksyonova.devchonka.1958_1964.vert,"Аксёнова, Анна Сергеевна","",1926,"",ж,Девчонка,1958,"Пионер, 1958, №10 ",1964,"Ясные звезды : Рассказы : [Для детей], М.: Детская литература, 1964",realism,aksyonova.devchonka,aksyonova.devchonka.1958_1964.tokens,1950s/aksyonova.devchonka.1958_1964,C:\Users\User\detcorpus-entities/1950s/aksyonova.devchonka.1958_1964/aksyonova.devchonka.1958_1964.tokens,2881
1950s/aleksin.31den.1950.vert,"Алексин, Анатолий Георгиевич","Гоберман, Анатолий Георгиевич",1924,2017,м,Тридцать один день,1950,"Тридцать один день (Дневник пионера Саши Василькова). [Повесть : Для сред. возраста], М.; Л.: Изд-во и ф-ка дет. книги Детгиза в М., 1950",1950,"Тридцать один день (Дневник пионера Саши Василькова). [Повесть : Для сред. возраста], М.; Л.: Изд-во и ф-ка дет. книги Детгиза в М., 1950",realism,aleksin.31den,aleksin.31den.1950.tokens,1950s/aleksin.31den.1950,C:\Users\User\detcorpus-entities/1950s/aleksin.31den.1950/aleksin.31den.1950.tokens,41008
1950s/aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova.1958_2001.vert,"Алексин, Анатолий Георгиевич","Гоберман, Анатолий Георгиевич",1924,2017,м,Необычайные похождения Севы Котлова,1958,"Необычайные похождения Севы Котлова, М.: Мол. гвардия, 1958",2001,"Необычайные похождения Севы Котлова, М.: Стрекоза, 2001",skazka,aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova,aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova.1958_2001.tokens,1950s/aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova.1958_2001,C:\Users\User\detcorpus-entities/1950s/aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova.1958_2001/aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova.1958_2001.tokens,33596
1950s/aleksin_anatoliy.govorit_sedmoy_etazh.1959_1981.vert,"Алексин, Анатолий Георгиевич","Гоберман, Анатолий Георгиевич",1924,2017,м,Говорит седьмой этаж,1959,"Говорит седьмой этаж, М.: Детгиз, 1959",1981,"Анатолий Алексин. Собрание сочинений. В 3-х т. Т. 3, М.: Детлит, 1981",realism,aleksin_anatoliy.govorit_sedmoy_etazh,aleksin_anatoliy.govorit_sedmoy_etazh.1959_1981.tokens,1950s/aleksin_anatoliy.govorit_sedmoy_etazh.1959_1981,C:\Users\User\detcorpus-entities/1950s/aleksin_anatoliy.govorit_sedmoy_etazh.1959_1981/aleksin_anatoliy.govorit_sedmoy_etazh.1959_1981.tokens,26393
1950s/aleksin_anatoliy.pismo_byvshemu_drugu.1957_1962.vert,"Алексин, Анатолий Георгиевич","Гоберман, Анатолий Георгиевич",1924,2017,м,Письмо бывшему другу,1957,"Два почерка, М.: Мол. гвардия, 1957",1962,"Вам письмо!, М.: Знание, 1962",realism,aleksin_anatoliy.pismo_byvshemu_drugu,aleksin_anatoliy.pismo_byvshemu_drugu.1957_1962.tokens,1950s/aleksin_anatoliy.pismo_byvshemu_drugu.1957_1962,C:\Users\User\detcorpus-entities/1950s/aleksin_anatoliy.pismo_byvshemu_drugu.1957_1962/aleksin_anatoliy.pismo_byvshemu_drugu.1957_1962.tokens,1282
1950s/aleksin_anatoliy.sasha_i_shura.1956_1980.vert,"Алексин, Анатолий Георгиевич","Гоберман, Анатолий Георгиевич",1924,2017,м,Саша и Шура,1956,"Саша и Шура, М.: Детгиз, 1956",1981,"Анатолий Алексин. Собрание сочинений. В 3-х т. Т. 3, М.: Детлит, 1981",realism,aleksin_anatoliy.sasha_i_shura,aleksin_anatoliy.sasha_i_shura.1956_1980.tokens,1950s/aleksin_anatoliy.sasha_i_shura.1956_1980,C:\Users\User\detcorpus-entities/1950s/aleksin_anatoliy.sasha_i_shura.1956_1980/aleksin_anatoliy.sasha_i_shura.1956_1980.tokens,27803
1950s/astafiev.vasutkino_ozero.1956.vert,"Астафьев, Виктор Петрович ","",1924,2001,м,Васюткино озеро,1955,"Огоньки, Молотов:Кн. изд-во, 1955",1955,"Огоньки, Молотов:Кн. изд-во, 1955",realism,astafiev.vasutkino_ozero,astafiev.vasutkino_ozero.1956.tokens,1950s/astafiev.vasutkino_ozero.1956,C:\Users\User\detcorpus-entities/1950s/astafiev.vasutkino_ozero.1956/astafiev.vasutkino_ozero.1956.tokens,9288
1950s/bogomolov_vladimir.ivan.1958_1976.vert,"Богомолов, Владимир Осипович","",1926,2003,м,Иван,1959,"Иван, М.: Детгиз, 1959",1986,"Роман. Повести. Рассказы, М.: Худож. лит., 1986",realism,bogomolov_vladimir.ivan,bogomolov_vladimir.ivan.1958_1976.tokens,1950s/bogomolov_vladimir.ivan.1958_1976,C:\Users\User\detcorpus-entities/1950s/bogomolov_vladimir.ivan.1958_1976/bogomolov_vladimir.ivan.1958_1976.tokens,22992
1950s/bremener.leshkina_pereekzaminovka_sluchai_so_stepnym.1955_1958.vert,"Бременер, Макс Соломонович","",1926,1983,м,Лёшкина переэкзаменовка,1955,"Случай со Степным, М.: Детгиз, 1955",1958,"Лёшкина переэкзаменовка, М.: Детгиз, 1958",realism,bremener.leshkina_pereekzaminovka_sluchai_so_stepnym,bremener.leshkina_pereekzaminovka_sluchai_so_stepnym.1955_1958.tokens,1950s/bremener.leshkina_pereekzaminovka_sluchai_so_stepnym.1955_1958,C:\Users\User\detcorpus-entities/1950s/bremener.leshkina_pereekzaminovka_sluchai_so_stepnym.1955_1958/bremener.leshkina_pereekzaminovka_sluchai_so_stepnym.1955_1958.tokens,12903
