index,precise,id,toponym,n,name,display_name,address.state,address.region
E109,1,alekseev_sergej.ot_moskvy_do_berlina,Днепр,7,Днепр,"Днепр, Украина",NA,NA
E133,1,alekseev_valeriy.ostrov_garantii,Европа,1,Европа,Европа,NA,NA
E66,1,aleksin.31den,Сталинград,23,Волгоград,"Волгоград, городской округ Волгоград, Волгоградская область, Южный федеральный округ, 400066, Россия",Волгоградская область,Южный федеральный округ
E219,1,aleksin.babochka,Ленинград,1,Санкт-Петербург,"Санкт-Петербург, Северо-Западный федеральный округ, Россия",Санкт-Петербург,Северо-Западный федеральный округ
E4,1,aronov.circ_priehal,Америка,1,Соединённые Штаты Америки,Соединённые Штаты Америки,NA,NA
E772,1,aronov.circ_priehal,Варшава,1,Варшава,"Варшава, Мазовецкое воеводство, Польша",Мазовецкое воеводство,NA
E3418,0,blinov.operatsiia_bremenskie_muzykanty,Принце,1,Princé,"Princé, Fougères-Vitré, Иль и Вилен, Бретань, Метрополия Франции, 35210, Франция",Бретань,Метрополия Франции
E8441,1,bulychev.alisa_i_chudovishche,остров Крит,1,Крит,"Крит, Греция",Крит,NA
E3,1,bulychev.alisa_na_planete_zagadok,Москва,2,Москва,"Москва, Центральный федеральный округ, Россия",Москва,Центральный федеральный округ
E9900,1,bulychev.drakonozavr,город Тверь,1,городской округ Тверь,"городской округ Тверь, Тверская область, Центральный федеральный округ, Россия",Тверская область,Центральный федеральный округ
E5980,1,bulychev.gorod_bez_pamyati,Вроцлав,1,Вроцлав,"Вроцлав, Нижнесилезское воеводство, Польша",Нижнесилезское воеводство,NA
E73,1,bulychev.klad_napoleona,Париж,1,Париж,"Париж, Иль-де-Франс, Метрополия Франции, Франция",Иль-де-Франс,Метрополия Франции
E73,1,bulychev.rzhavyj_feldmarshal,Париж,1,Париж,"Париж, Иль-де-Франс, Метрополия Франции, Франция",Иль-де-Франс,Метрополия Франции
E542,1,bulychev.vampir_polumraks,Индия,2,Индия,Индия,NA,NA
E1640,1,chudakova.dela_i_uzhasy_zheni_osinkinoy_kniga_3_zaveshchanie_poruchika_zayonchkovskogo,Турция,1,Турция,Турция,NA,NA
E4256,1,demidenko_mihail.volshebnyi_miach,Тюмень,2,Тюмень,"Тюмень, городской округ Тюмень, Тюменская область, Уральский федеральный округ, Россия",Тюменская область,Уральский федеральный округ
E157,1,dik.ogennyj_ruchej,Магнитогорск,2,Магнитогорск,"Магнитогорск, Магнитогорский городской округ, Челябинская область, Уральский федеральный округ, 455000, Россия",Челябинская область,Уральский федеральный округ
E1405,1,dunayeva.uznay_mir_letayushchiye_yashchery_i_drevniye_ptitsy,Австралия,1,Австралия,Австралия,NA,NA
E169,1,fedorovskii.shturmfogel_bez_svastiki,Франция,18,Франция,Франция,NA,NA
E1619,1,fedorovskii.shturmfogel_bez_svastiki,Обьи,1,городское поселение Камень-на-Оби,"городское поселение Камень-на-Оби, Каменский район, Алтайский край, Сибирский федеральный округ, Россия",Алтайский край,Сибирский федеральный округ
E1564,1,fedorovskii.shturmfogel_bez_svastiki,Бремен,1,Бремен,"Бремен, Германия",Бремен,NA
E6265,1,fingaret.bogat_i_slaven_gorod_moskva,Орехово-Зуево,1,Орехово-Зуево,"Орехово-Зуево, Орехово-Зуевский городской округ, Московская область, Центральный федеральный округ, 142600, Россия",Московская область,Центральный федеральный округ
E3823,0,foniakova.hleb_toi_zimy,Айн,1,Айн-Дефла,"Айн-Дефла, Алжир",Айн-Дефла,NA
E3859,1,golubev.golos_v_nochi,Рона,1,Рона,"Рона, Rhône, Овернь — Рона — Альпы, Метрополия Франции, Франция",Овернь — Рона — Альпы,Метрополия Франции
E4,1,imsheneckiy.podmena,Америка,1,Соединённые Штаты Америки,Соединённые Штаты Америки,NA,NA
E244,1,kolosov.bahmutskii_shlyah,Киев,6,Киев,"Киев, Украина",NA,NA
E6606,1,korkishchenko.tvoi_svetlii_dom,азовский район,1,Азовский район,"Азовский район, Ростовская область, Южный федеральный округ, Россия",Ростовская область,Южный федеральный округ
