"toponym","index","more_one"
"деревня Семеновка","E1",TRUE
"прохоровский рудник","E2",TRUE
"Москва","E3",FALSE
"Америка","E4",FALSE
"Англия","E5",FALSE
"Бон","E6",FALSE
"Ир Сен","E7",TRUE
"Ир Сена","E8",TRUE
"Кай Су","E9",TRUE
"Кай Су и Пек Чан","E10",TRUE
"Ким Ир Сен","E11",TRUE
"Ким Ир Сена","E12",TRUE
"Корея","E13",FALSE
"Ку Сек Чука","E14",TRUE
"Ли Кай Су","E15",TRUE
"Лондон","E16",FALSE
"Пек Чан","E17",TRUE
"Пит","E18",FALSE
"Рио-де-Жанейро","E19",TRUE
"Россия","E20",FALSE
"Северный Корея","E21",TRUE
"Сеул","E22",FALSE
"Син Пек Чан","E23",TRUE
"Сити","E24",FALSE
"Тек Сан","E25",TRUE
"Тек Сана","E26",TRUE
"Филипп","E27",FALSE
"Флорида","E28",FALSE
"Фузан","E29",FALSE
"Хесандин","E30",FALSE
"Чан Бай Су","E31",TRUE
"ЮГА","E32",FALSE
"Южный Корея","E33",TRUE
"быстрый Река","E34",TRUE
"весь Лондон","E35",TRUE
"весь прохладный Долина","E36",TRUE
"древний столица Корея — Пхеньян","E37",TRUE
"другой Лондон","E38",TRUE
"золотой очка несколько","E39",TRUE
"кай СУ","E40",TRUE
"кай Су","E41",TRUE
"король великобритание","E42",TRUE
"овраг","E43",FALSE
"пек Чан","E44",TRUE
"прохладный Долина","E45",TRUE
"прохладный Долина фанз Син Тек Чена","E46",TRUE
"ранена Сель Най","E47",TRUE
"северный Корея","E48",TRUE
"синий Ручь","E49",TRUE
"советский Союз","E50",TRUE
"тек Сан","E51",TRUE
"Мурманск","E52",FALSE
"Рита","E53",FALSE
"Украина","E54",FALSE
"Арбат","E55",FALSE
"Волга","E56",FALSE
"Гомель","E57",FALSE
"Измайлово","E58",FALSE
"Крым","E59",FALSE
"Москву-рек","E60",TRUE
"Моссовет","E61",FALSE
"Новороссийск","E62",FALSE
"Петербург","E63",FALSE
"Профессор","E64",FALSE
"Севастополь","E65",FALSE
"Сталинград","E66",FALSE
"Актюбинск","E67",FALSE
"Анап","E68",FALSE
"Антарктида","E69",FALSE
"Архангельск","E70",FALSE
"Котелка","E71",FALSE
"Марс","E72",FALSE
"Париж","E73",FALSE
"отечественный","E74",FALSE
"плен","E75",FALSE
"тайный сигнал барабанщик","E76",TRUE
"финский","E77",FALSE
"БОДОПИШ","E78",FALSE
"Икс","E79",FALSE
"Ленькина","E80",FALSE
"новый !","E81",FALSE
"после-едний","E82",TRUE
"тихий Таня","E83",TRUE
"только клепальский","E84",TRUE
"Варенца","E85",FALSE
"Белогорк","E86",FALSE
"Белогорск","E87",FALSE
"Петров","E88",FALSE
"Хвостик","E89",FALSE
"Химки","E90",FALSE
"Шура","E91",FALSE
"городок","E92",FALSE
"древний Спарта","E93",TRUE
"ур-ра","E94",TRUE
"Григорий Шадрин","E95",TRUE
"Енисей","E96",FALSE
"Заполярье","E97",FALSE
"Красноярск","E98",FALSE
"Сибирь","E99",FALSE
"васюткин","E100",FALSE
"наш Родина","E101",TRUE
